iter	PRAUC	Logloss
107	0.9677641672	0.2602190521
108	0.9677616478	0.259651849
109	0.9677480805	0.2591309207
110	0.9677428252	0.2585954045
111	0.9676907725	0.2580832422
112	0.9678248174	0.2574108591
113	0.9678886005	0.2568507656
114	0.9679286396	0.2563486594
115	0.9679779963	0.2558549356
116	0.9679800349	0.2554507044
117	0.9680266291	0.2548992968
118	0.9679924349	0.2543495021
119	0.9680168244	0.2537384363
120	0.967996645	0.2534533554
121	0.9680218138	0.2529040305
122	0.9680865866	0.2524759913
123	0.9682191316	0.2520177827
124	0.968171514	0.251524687
125	0.9682082842	0.2511236734
126	0.9682262409	0.2508188654
127	0.9683333048	0.2504714872
128	0.9683218277	0.2501631423
129	0.9683307096	0.2498243442
130	0.9683081497	0.2495537629
131	0.9684067791	0.2491386113
132	0.968408041	0.2487949541
133	0.9683915907	0.2485379714
134	0.9684340318	0.2481174694
135	0.9684608944	0.2478206837
136	0.9684265994	0.2474580282
137	0.9684176898	0.2471560458
138	0.9683884411	0.2469224431
139	0.9684344674	0.2464528873
140	0.9684709266	0.2460725282
141	0.9685582597	0.2457333816
142	0.9686619798	0.2453431439
143	0.9686972224	0.2449131267
144	0.9686886899	0.2445827546
145	0.9687148242	0.2443101654
146	0.9686957767	0.2440457932
147	0.9687076023	0.2437214374
148	0.9687573725	0.2434131236
149	0.9687549851	0.2432289118
150	0.9688013873	0.242933379
151	0.9688018883	0.2427826386
152	0.9687989078	0.2424529494
153	0.96885759	0.242159394
154	0.9688909718	0.2418847028
155	0.9689045885	0.2415874873
156	0.9688750768	0.2413400716
157	0.9688738072	0.2411314781
158	0.9689488081	0.2408373573
159	0.9689285566	0.2407176411
160	0.9689310513	0.2405224132
161	0.968963929	0.240210122
162	0.9689783237	0.2400605907
163	0.968956152	0.2398775982
164	0.9689430094	0.2396282999
165	0.9689668404	0.2394270514
166	0.9689544275	0.2392499115
167	0.9689823311	0.2390094519
168	0.9689761806	0.2388047009
169	0.9689783436	0.2387241382
170	0.9689797462	0.2385348547
171	0.9690267231	0.2382812155
172	0.9690294865	0.2380771108
173	0.9689991623	0.2379542683
174	0.9691098574	0.2377010527
175	0.9691187134	0.2374883495
176	0.9691324566	0.2372765891
177	0.9691552332	0.2370114165
178	0.9692038873	0.2368227759
179	0.9692154289	0.2366432591
180	0.9692252199	0.2364886013
181	0.9692211988	0.2363068159
182	0.9692463029	0.2361563167
183	0.9692633901	0.2360284111
184	0.9693087097	0.2358090221
185	0.9693131077	0.235612533
186	0.9693231974	0.2354492704
187	0.9693253091	0.2352857933
188	0.9693159546	0.2350683457
189	0.9693290526	0.2348854052
190	0.9693767478	0.2346865142
191	0.969359134	0.2345132571
192	0.9693714748	0.2343834578
193	0.9694027395	0.2341881073
194	0.9694305894	0.2340347989
195	0.9694155878	0.2339577443
196	0.9694652429	0.2338258817
197	0.969484753	0.2336466705
198	0.9695394316	0.2334937924
199	0.9695812868	0.233323753
200	0.9695825275	0.2332252198
201	0.9696740571	0.2329879221
202	0.9697466233	0.2328026583
203	0.969799907	0.2325950483
204	0.9698333351	0.2324154222
205	0.9699054482	0.2322318346
206	0.9699033417	0.2321565288
207	0.9699259436	0.2319965879
208	0.9699105888	0.2319102589
209	0.9699093992	0.2317428947
210	0.9699084665	0.2315779681
211	0.9699178562	0.2314604938
212	0.9699114493	0.2313933254
213	0.9699072079	0.2312262716
214	0.9699186359	0.2311042767
215	0.9699501146	0.2309884273
216	0.9699501146	0.2309740755
217	0.9699979734	0.2308324705
218	0.9699960493	0.2307921529
219	0.9700068245	0.2307353075
220	0.9699971821	0.2306350355
221	0.970094466	0.2303372812
222	0.9700933302	0.230251767
223	0.9701038282	0.2301531574
224	0.9700993436	0.2300248757
225	0.9701295383	0.2299366208
226	0.9701352554	0.2298451397
227	0.9701415147	0.2297416138
228	0.9701739335	0.2295971349
229	0.970239952	0.2294306097
230	0.9702642916	0.2292606638
231	0.9702728427	0.2291745768
232	0.9702898239	0.2291294444
233	0.9703163431	0.2289971855
234	0.9703105759	0.228888401
235	0.970314445	0.2287399257
236	0.9703183329	0.2287061657
237	0.9703372076	0.2285836481
238	0.9703924449	0.2283617098
239	0.9704435871	0.2282133858
240	0.9704531773	0.2281287968
241	0.970464801	0.2279930088
242	0.9704852486	0.2278727908
243	0.9705492476	0.2277030735
244	0.970584436	0.2275745715
245	0.9705881009	0.2274796639
246	0.9706428966	0.2272541959
247	0.9706579283	0.227179608
248	0.9706618495	0.2270842357
249	0.9706691846	0.2270344091
250	0.9707007052	0.2269079201
251	0.9707177323	0.2267713047
252	0.9707363137	0.2267117677
253	0.9707287467	0.2266871299
254	0.9707366694	0.2266347141
255	0.9707538572	0.226574154
256	0.9707538572	0.226568987
257	0.9707761201	0.2264284677
258	0.9708022112	0.2263193938
259	0.9708136247	0.2262147583
260	0.9708585811	0.226116832
261	0.9708920188	0.2260372764
262	0.9709013999	0.2259914212
263	0.9709475763	0.225882228
264	0.9709387399	0.2258429002
265	0.9709460075	0.2257447228
266	0.9709632088	0.2256235405
267	0.970984735	0.2254826034
268	0.9709935217	0.2254364715
269	0.9709962029	0.2253519964
270	0.9709867761	0.2252712585
271	0.9710620757	0.2250547215
272	0.9710832009	0.2249478885
273	0.9711024641	0.2248530273
274	0.9711232579	0.2247125204
275	0.9711661873	0.2245657176
276	0.9712007945	0.2244650066
277	0.9712136482	0.2244056365
278	0.9712034294	0.2243533149
279	0.9712083046	0.2242656256
280	0.9712240599	0.2241547849
281	0.9712262181	0.2240943678
282	0.9712160246	0.2240535374
283	0.9712388857	0.2239877408
284	0.9712467019	0.2238755173
285	0.9712410327	0.223844971
286	0.9712684107	0.2237405671
287	0.9712932204	0.2236391803
288	0.9713089041	0.223565829
289	0.9713331226	0.2235107591
290	0.9713624381	0.2233656083
291	0.9713951072	0.2232783573
292	0.9713949394	0.2232678759
293	0.9713895214	0.2231935646
294	0.9714249485	0.223074922
295	0.9714271296	0.2229626476
296	0.9714299495	0.2229066562
297	0.9714300867	0.2228942965
298	0.97147131	0.2228264283
299	0.9715109549	0.2227318689
